"trust";"anchor";"se";"gender";"scale";"t";"intTime";"N";"c";"pvc";"d";"cp";"pvcp";"dp";"pvdp";"cn";"pvcn";"dn";"pvdn";"tot";"sbt";"sbt2";"enhm";"enhsd";"totm";"totsd";"sbm";"sbsd";"sbtm";"sbtsd";"diffm";"diffsd"
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"1:2";240;1288;-0.0783348247394666;0.03851338568272;0.590167840902167;-0.073756326163274;0.167595645022748;0.629965553602028;7.51199558299877e-68;0.0161166798912211;0.768583253433129;0.494987806724982;8.6907828784205e-37;8.98;0.211854594291914;0.387197414048921;7.93225;1.3585628075323;8.9365;0.770544250650834;1.00425;1.15005896178322;0.195537818051846;0.272711536302704;0.808712181948154;1.09059445854639
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"1:3";0;1956;-0.0880590051408172;0.00606326812035739;0.598110610308361;-0.0464234794616246;0.289428867394834;0.619297244417215;6.31752483141395e-97;-0.0290726040944636;0.537807109076194;0.519186540764799;3.79855132888194e-54;9.03;0.278217883152277;0.508666805181869;8.9134;1.13067038414736;9.03215;0.622661557005782;0.11875;0.943765012859392;0.258031678951722;0.229350583666736;-0.139281678951722;0.87520733834809
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"1:3";240;1932;-0.0871218725487952;0.00670032256077056;0.599366212295441;-0.0469432122691967;0.284640189782847;0.620990986154874;6.15063100219855e-97;-0.0284120933356815;0.54774636887445;0.520971203929508;2.9236130015118e-54;8.95;0.278630720226558;0.509493536802031;8.7855;1.2185697811606;8.9236;0.634186092562743;0.1381;1.04143860203521;0.297662155570587;0.233346431789166;-0.159562155570587;1.00230484415229
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"1:4";0;2608;-0.0624949850177027;0.0258339242374914;0.579162842593726;0.00774657803195857;0.84190810295055;0.5817579429536;1.65295972904557e-111;-0.035571269803467;0.385242621885487;0.518591972782882;6.76999671879533e-70;9.05;0.101730151439517;0.18616614201566;8.96915;1.11763514578572;9.0746;1.09678875260425;0.10545;0.230380496932432;0.13249328689597;0.225590029120042;-0.02704328689597;0.0354669964434302
"[0, 10]";"[0, 100]";"[0, 5]";"all";"0";"1:4";240;2576;-0.0612343869503834;0.0293270269973975;0.579714299348442;0.00841627332446162;0.828868665492544;0.582328453519978;4.12591593987919e-111;-0.0345946166656889;0.399583204564307;0.519692765501887;9.43969323675978e-70;8.97;0.0959485660039448;0.175585846736218;8.88465;1.13643402313761;8.93895;1.06587656968762;0.0543;0.231187691592175;0.0779283929077896;0.224482640442393;-0.0236283929077895;0.033818662544113
"[0, 10]";"[0, 100]";"[0, 5]";"all";"1";"1:1";0;716;-0.100730434722088;0.045341379129107;0.606053031345653;-0.176633450120095;0.0179434417534466;0.626095566109368;1.55576244557417e-35;-0.0660023709753301;0.342603878782349;0.600493160026379;7.15005447908117e-35;-4.2;0.886434486232636;1.62149006049649;-4.0135;1.84251814525065;-4.31925;1.08739786096911;-0.30575;1.56074342468211;0.884558789219437;0.375237826032005;-1.19030878921944;1.55277699333865
"[0, 10]";"[0, 100]";"[0, 5]";"all";"1";"1:1";240;710;-0.104448132559925;0.0390947131980483;0.607736311340539;-0.180826912504332;0.0160545381753076;0.62833234344254;3.14321421558165e-35;-0.0682075976248199;0.329108731644836;0.600954092572988;1.17364255090002e-34;-4.12;0.908858684260436;1.66251249957376;-3.91;1.98698175190716;-4.09865;1.03743580173116;-0.18865;1.71326737639374;0.894014086231764;0.379237960249905;-1.08266408623176;1.68636407124196
"[0, 10]";"[0, 100]";"[0, 5]";"all";"1";"2:2";0;716;-0.0743733704190939;0.15644171527986;0.586284741217991;-0.121533848379361;0.121456900593205;0.56574232221508;2.51373266515831e-31;-0.151110837298477;0.0382404156630693;0.676634607918727;1.32080279615334e-37;-4.15;0.998177738402914;1.82670352414072;-9.36645;1.93345887299623;-4.00075;1.0656990710563;5.3657;1.61764656586669;0.987848942199741;0.368424986172894;4.37785105780026;1.54474516612709
"[0, 10]";"[0, 100]";"[0, 5]";"all";"1";"2:2";240;710;-0.070644660635435;0.179835435784382;0.585099202403871;-0.107476340550892;0.172675810770911;0.55976680187431;1.28395120811978e-30;-0.156721047044831;0.032618033575958;0.680593590817069;1.65777987761442e-37;-4.07;0.969820628215762;1.77476951307723;-9.1245;1.91108502686288;-3.9919;1.0704150277618;5.1326;1.64199879421424;0.969072715653874;0.401334092074341;4.16352728434613;1.60213788882311
"[0, 10]";"[0, 100]";"[0, 5]";"all";"1";"3:3";0;716;-0.0830737004685793;0.127285717748798;0.586842744716535;0.0228637372637742;0.751183952656265;0.507489184898879;6.42205183222324e-30;-0.275785064531423;0.00125958554377395;0.729895886978357;9.31121084728263e-34;-4.2;0.934073486817045;1.7127499390803;-5.3008;1.89012731484725;-4.24435;0.955297095254144;1.05645;1.67946117750119;0.896901189004163;0.399574879800417;0.159548810995837;1.64770560360563
"[0, 10]";"[0, 100]";"[0, 5]";"all";"1";"3:3";240;710;-0.0818072887080328;0.133502719039011;0.588610016674089;0.0173394463444267;0.810163761349349;0.513002003420962;2.82415682882777e-30;-0.263896191308287;0.00201314276126365;0.724715825528832;1.94473037400521e-33;-4.11;0.91388830637123;1.67578033634616;-5.1618;2.13989356801035;-4.10765;1.06857533366562;1.05415;1.82635983000153;0.908285153775515;0.421961576724326;0.145864846224485;1.75241519240972
"[0, 10]";"[0, 100]";"[0, 5]";"all";"1";"4:4";0;716;-0.0458840657568314;0.39150907253494;0.539420377860691;0.022182659927528;0.764740655956361;0.500087314702569;2.63591213044356e-28;-0.133098590506878;0.103632893578074;0.597157567115801;5.95517084557733e-25;-4.09;0.386674955008875;0.706498536797438;-0.82595;2.01076902149127;-4.05825;0.970391019721318;-3.2323;1.740630830602;0.366399180998177;0.402152662214408;-3.59869918099818;1.66771506132416
